SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,6.144,12,5,AODV,7.5
12,15.36,30,5,AODV,7.5
13,15.36,30,5,AODV,7.5
14,18.944,37,5,AODV,7.5
15,19.968,39,5,AODV,7.5
16,20.48,40,5,AODV,7.5
17,17.92,35,5,AODV,7.5
18,12.288,24,5,AODV,7.5
19,11.264,22,5,AODV,7.5
20,14.848,29,5,AODV,7.5
21,24.576,48,5,AODV,7.5
22,20.48,40,5,AODV,7.5
23,20.992,41,5,AODV,7.5
24,20.48,40,5,AODV,7.5
25,20.992,41,5,AODV,7.5
26,18.432,36,5,AODV,7.5
27,18.944,37,5,AODV,7.5
28,22.016,43,5,AODV,7.5
29,19.968,39,5,AODV,7.5
